name,d,p,drate,state,gender,age
Inflammatory/Heart,0.0,300124.0,0.0,Arkansas,male,0_14
Influenza & Pneumonia,0.0,300124.0,0.0,Arkansas,male,0_14
Kidney Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Leukemia,0.0,300124.0,0.0,Arkansas,male,0_14
Liver Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Liver Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Low Birth Weight,25.0,300124.0,8.329890312004372e-05,Arkansas,male,0_14
Lung Cancers,0.0,300124.0,0.0,Arkansas,male,0_14
Lung Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Lymphomas,0.0,300124.0,0.0,Arkansas,male,0_14
Malnutrition,0.0,300124.0,0.0,Arkansas,male,0_14
Oesophagus Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Oral Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Oral conditions,0.0,300124.0,0.0,Arkansas,male,0_14
Osteoarthritis,0.0,300124.0,0.0,Arkansas,male,0_14
Other Injuries,14.0,300124.0,4.664738574722448e-05,Arkansas,male,0_14
Other Neoplasms,0.0,300124.0,0.0,Arkansas,male,0_14
Pancreas Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Parkinson's Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Peptic Ulcer Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Pertussis,0.0,300124.0,0.0,Arkansas,male,0_14
Poisonings,0.0,300124.0,0.0,Arkansas,male,0_14
Prostate Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Prostatic Hypertrophy,0.0,300124.0,0.0,Arkansas,male,0_14
Rheumatic/Heart,0.0,300124.0,0.0,Arkansas,male,0_14
Rheumatoid Arthritis,0.0,300124.0,0.0,Arkansas,male,0_14
Road Traffic Accidents,0.0,300124.0,0.0,Arkansas,male,0_14
Skin Cancers,0.0,300124.0,0.0,Arkansas,male,0_14
Skin Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Stomach Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Stroke,0.0,300124.0,0.0,Arkansas,male,0_14
Suicide,0.0,300124.0,0.0,Arkansas,male,0_14
Alcohol,0.0,585736.0,0.0,Arkansas,both,0_14
Alzheimers,0.0,585736.0,0.0,Arkansas,both,0_14
Anaemia,0.0,585736.0,0.0,Arkansas,both,0_14
Birth Trauma,15.0,585736.0,2.560880669789803e-05,Arkansas,both,0_14
Bladder Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Breast Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Cervical Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Colon-Rectum Cancers,0.0,585736.0,0.0,Arkansas,both,0_14
Congenital Anomalies,70.0,585736.0,0.00011950776459019081,Arkansas,both,0_14
Coronary Heart Disease,0.0,585736.0,0.0,Arkansas,both,0_14
Diabetes Mellitus,0.0,585736.0,0.0,Arkansas,both,0_14
Diarrhoeal diseases,0.0,585736.0,0.0,Arkansas,both,0_14
Drownings,0.0,585736.0,0.0,Arkansas,both,0_14
Drug Use,0.0,585736.0,0.0,Arkansas,both,0_14
Endocrine Disorders,0.0,585736.0,0.0,Arkansas,both,0_14
Falls,0.0,585736.0,0.0,Arkansas,both,0_14
Fires,0.0,585736.0,0.0,Arkansas,both,0_14
HIV/AIDS,0.0,585736.0,0.0,Arkansas,both,0_14
Hepatitis C,0.0,585736.0,0.0,Arkansas,both,0_14
Homicide,23.0,585736.0,3.9266836936776976e-05,Arkansas,both,0_14
Hypertension,0.0,585736.0,0.0,Arkansas,both,0_14
Inflammatory/Heart,0.0,585736.0,0.0,Arkansas,both,0_14
Influenza & Pneumonia,0.0,585736.0,0.0,Arkansas,both,0_14
Kidney Disease,0.0,585736.0,0.0,Arkansas,both,0_14
Leukemia,0.0,585736.0,0.0,Arkansas,both,0_14
Liver Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Liver Disease,0.0,585736.0,0.0,Arkansas,both,0_14
Low Birth Weight,50.0,585736.0,8.536268899299344e-05,Arkansas,both,0_14
Lung Cancers,0.0,585736.0,0.0,Arkansas,both,0_14
Lung Disease,0.0,585736.0,0.0,Arkansas,both,0_14
Lymphomas,0.0,585736.0,0.0,Arkansas,both,0_14
Malnutrition,0.0,585736.0,0.0,Arkansas,both,0_14
Multiple Sclerosis,0.0,585736.0,0.0,Arkansas,both,0_14
Oesophagus Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Oral Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Other Injuries,26.0,585736.0,4.4388598276356586e-05,Arkansas,both,0_14
Other Neoplasms,0.0,585736.0,0.0,Arkansas,both,0_14
Ovary Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Pancreas Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Parkinson's Disease,0.0,585736.0,0.0,Arkansas,both,0_14
Poisonings,0.0,585736.0,0.0,Arkansas,both,0_14
Prostate Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Rheumatic/Heart,0.0,585736.0,0.0,Arkansas,both,0_14
Road Traffic Accidents,10.0,585736.0,1.7072537798598686e-05,Arkansas,both,0_14
Skin Cancers,0.0,585736.0,0.0,Arkansas,both,0_14
Skin Disease,0.0,585736.0,0.0,Arkansas,both,0_14
Stomach Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Stroke,0.0,585736.0,0.0,Arkansas,both,0_14
Suicide,0.0,585736.0,0.0,Arkansas,both,0_14
Uterin Cancer,0.0,585736.0,0.0,Arkansas,both,0_14
Asthma,0.0,585736.0,0.0,Arkansas,both,0_14
Alcohol,0.0,442920.0,0.0,Alabama,female,0_14
Alzheimers,0.0,442920.0,0.0,Alabama,female,0_14
Appendicitis,0.0,442920.0,0.0,Alabama,female,0_14
Asthma,0.0,442920.0,0.0,Alabama,female,0_14
Birth Trauma,12.0,442920.0,2.70929287455974e-05,Alabama,female,0_14
Bladder Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Breast Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Cervical Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Colon-Rectum Cancers,0.0,442920.0,0.0,Alabama,female,0_14
Congenital Anomalies,47.0,442920.0,0.00010611397092025648,Alabama,female,0_14
Coronary Heart Disease,0.0,442920.0,0.0,Alabama,female,0_14
Diabetes Mellitus,0.0,442920.0,0.0,Alabama,female,0_14
Diarrhoeal diseases,0.0,442920.0,0.0,Alabama,female,0_14
Endocrine Disorders,0.0,442920.0,0.0,Alabama,female,0_14
Falls,0.0,442920.0,0.0,Alabama,female,0_14
Homicide,0.0,442920.0,0.0,Alabama,female,0_14
Hypertension,0.0,442920.0,0.0,Alabama,female,0_14
Inflammatory/Heart,0.0,442920.0,0.0,Alabama,female,0_14
Influenza & Pneumonia,0.0,442920.0,0.0,Alabama,female,0_14
Kidney Disease,0.0,442920.0,0.0,Alabama,female,0_14
Leukemia,0.0,442920.0,0.0,Alabama,female,0_14
Liver Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Liver Disease,0.0,442920.0,0.0,Alabama,female,0_14
Low Birth Weight,30.0,442920.0,6.77323218639935e-05,Alabama,female,0_14
Lung Cancers,0.0,442920.0,0.0,Alabama,female,0_14
Lung Disease,0.0,442920.0,0.0,Alabama,female,0_14
Lymphomas,0.0,442920.0,0.0,Alabama,female,0_14
Malnutrition,0.0,442920.0,0.0,Alabama,female,0_14
Maternal Conditions,0.0,442920.0,0.0,Alabama,female,0_14
Multiple Sclerosis,0.0,442920.0,0.0,Alabama,female,0_14
Oesophagus Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Oral Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Osteoarthritis,0.0,442920.0,0.0,Alabama,female,0_14
Other Injuries,0.0,442920.0,0.0,Alabama,female,0_14
Other Neoplasms,0.0,442920.0,0.0,Alabama,female,0_14
Ovary Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Pancreas Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Parkinson's Disease,0.0,442920.0,0.0,Alabama,female,0_14
Peptic Ulcer Disease,0.0,442920.0,0.0,Alabama,female,0_14
Poisonings,0.0,442920.0,0.0,Alabama,female,0_14
Prostatic Hypertrophy,0.0,442920.0,0.0,Alabama,female,0_14
Rheumatic/Heart,0.0,442920.0,0.0,Alabama,female,0_14
Rheumatoid Arthritis,0.0,442920.0,0.0,Alabama,female,0_14
Road Traffic Accidents,0.0,442920.0,0.0,Alabama,female,0_14
Skin Cancers,0.0,442920.0,0.0,Alabama,female,0_14
Skin Disease,0.0,442920.0,0.0,Alabama,female,0_14
Stomach Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Stroke,0.0,442920.0,0.0,Alabama,female,0_14
Suicide,0.0,442920.0,0.0,Alabama,female,0_14
Uterin Cancer,0.0,442920.0,0.0,Alabama,female,0_14
Alcohol,0.0,460378.0,0.0,Alabama,male,0_14
Alzheimers,0.0,460378.0,0.0,Alabama,male,0_14
Appendicitis,0.0,460378.0,0.0,Alabama,male,0_14
Asthma,0.0,460378.0,0.0,Alabama,male,0_14
Birth Trauma,15.0,460378.0,3.2581921812076167e-05,Alabama,male,0_14
Bladder Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Colon-Rectum Cancers,0.0,460378.0,0.0,Alabama,male,0_14
Congenital Anomalies,44.0,460378.0,9.557363731542342e-05,Alabama,male,0_14
Coronary Heart Disease,0.0,460378.0,0.0,Alabama,male,0_14
Diabetes Mellitus,0.0,460378.0,0.0,Alabama,male,0_14
Diarrhoeal diseases,0.0,460378.0,0.0,Alabama,male,0_14
Endocrine Disorders,0.0,460378.0,0.0,Alabama,male,0_14
Falls,0.0,460378.0,0.0,Alabama,male,0_14
Fires,0.0,460378.0,0.0,Alabama,male,0_14
HIV/AIDS,0.0,460378.0,0.0,Alabama,male,0_14
Hepatitis C,0.0,460378.0,0.0,Alabama,male,0_14
Homicide,0.0,460378.0,0.0,Alabama,male,0_14
Hypertension,0.0,460378.0,0.0,Alabama,male,0_14
Inflammatory/Heart,0.0,460378.0,0.0,Alabama,male,0_14
Influenza & Pneumonia,0.0,460378.0,0.0,Alabama,male,0_14
Kidney Disease,0.0,460378.0,0.0,Alabama,male,0_14
Leukemia,0.0,460378.0,0.0,Alabama,male,0_14
Liver Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Liver Disease,0.0,460378.0,0.0,Alabama,male,0_14
Low Birth Weight,52.0,460378.0,0.00011295066228186403,Alabama,male,0_14
Lung Cancers,0.0,460378.0,0.0,Alabama,male,0_14
Lung Disease,0.0,460378.0,0.0,Alabama,male,0_14
Lymphomas,0.0,460378.0,0.0,Alabama,male,0_14
Malnutrition,0.0,460378.0,0.0,Alabama,male,0_14
Oesophagus Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Oral Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Oral conditions,0.0,460378.0,0.0,Alabama,male,0_14
Osteoarthritis,0.0,460378.0,0.0,Alabama,male,0_14
Other Injuries,0.0,460378.0,0.0,Alabama,male,0_14
Other Neoplasms,0.0,460378.0,0.0,Alabama,male,0_14
Pancreas Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Parkinson's Disease,0.0,460378.0,0.0,Alabama,male,0_14
Peptic Ulcer Disease,0.0,460378.0,0.0,Alabama,male,0_14
Pertussis,0.0,460378.0,0.0,Alabama,male,0_14
Poisonings,0.0,460378.0,0.0,Alabama,male,0_14
Prostate Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Prostatic Hypertrophy,0.0,460378.0,0.0,Alabama,male,0_14
Rheumatic/Heart,0.0,460378.0,0.0,Alabama,male,0_14
Rheumatoid Arthritis,0.0,460378.0,0.0,Alabama,male,0_14
Road Traffic Accidents,21.0,460378.0,4.561469053690663e-05,Alabama,male,0_14
Skin Cancers,0.0,460378.0,0.0,Alabama,male,0_14
Skin Disease,0.0,460378.0,0.0,Alabama,male,0_14
Stomach Cancer,0.0,460378.0,0.0,Alabama,male,0_14
Stroke,0.0,460378.0,0.0,Alabama,male,0_14
Suicide,11.0,460378.0,2.3893409328855855e-05,Alabama,male,0_14
Alcohol,0.0,903298.0,0.0,Alabama,both,0_14
Alzheimers,0.0,903298.0,0.0,Alabama,both,0_14
Asthma,0.0,903298.0,0.0,Alabama,both,0_14
Birth Trauma,27.0,903298.0,2.9890468040447338e-05,Alabama,both,0_14
Bladder Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Breast Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Cervical Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Colon-Rectum Cancers,0.0,903298.0,0.0,Alabama,both,0_14
Congenital Anomalies,91.0,903298.0,0.00010074194784002621,Alabama,both,0_14
Coronary Heart Disease,0.0,903298.0,0.0,Alabama,both,0_14
Diabetes Mellitus,0.0,903298.0,0.0,Alabama,both,0_14
Diarrhoeal diseases,0.0,903298.0,0.0,Alabama,both,0_14
Drug Use,0.0,903298.0,0.0,Alabama,both,0_14
Endocrine Disorders,0.0,903298.0,0.0,Alabama,both,0_14
Falls,0.0,903298.0,0.0,Alabama,both,0_14
Fires,0.0,903298.0,0.0,Alabama,both,0_14
HIV/AIDS,0.0,903298.0,0.0,Alabama,both,0_14
Hepatitis C,0.0,903298.0,0.0,Alabama,both,0_14
Homicide,11.0,903298.0,1.217759809055262e-05,Alabama,both,0_14
Hypertension,0.0,903298.0,0.0,Alabama,both,0_14
Inflammatory/Heart,0.0,903298.0,0.0,Alabama,both,0_14
Influenza & Pneumonia,0.0,903298.0,0.0,Alabama,both,0_14
Kidney Disease,0.0,903298.0,0.0,Alabama,both,0_14
Leukemia,0.0,903298.0,0.0,Alabama,both,0_14
Liver Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Liver Disease,0.0,903298.0,0.0,Alabama,both,0_14
Low Birth Weight,82.0,903298.0,9.077845849321043e-05,Alabama,both,0_14
Lung Cancers,0.0,903298.0,0.0,Alabama,both,0_14
Lung Disease,0.0,903298.0,0.0,Alabama,both,0_14
Lymphomas,0.0,903298.0,0.0,Alabama,both,0_14
Malnutrition,0.0,903298.0,0.0,Alabama,both,0_14
Maternal Conditions,0.0,903298.0,0.0,Alabama,both,0_14
Oesophagus Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Oral Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Other Injuries,25.0,903298.0,2.7676359296710498e-05,Alabama,both,0_14
Other Neoplasms,0.0,903298.0,0.0,Alabama,both,0_14
Ovary Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Pancreas Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Parkinson's Disease,0.0,903298.0,0.0,Alabama,both,0_14
Peptic Ulcer Disease,0.0,903298.0,0.0,Alabama,both,0_14
Poisonings,0.0,903298.0,0.0,Alabama,both,0_14
Prostate Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Rheumatoid Arthritis,0.0,903298.0,0.0,Alabama,both,0_14
Road Traffic Accidents,33.0,903298.0,3.653279427165786e-05,Alabama,both,0_14
Skin Cancers,0.0,903298.0,0.0,Alabama,both,0_14
Skin Disease,0.0,903298.0,0.0,Alabama,both,0_14
Stomach Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Stroke,0.0,903298.0,0.0,Alabama,both,0_14
Suicide,16.0,903298.0,1.771286994989472e-05,Alabama,both,0_14
Uterin Cancer,0.0,903298.0,0.0,Alabama,both,0_14
Drownings,0.0,903298.0,0.0,Alabama,both,0_14
Multiple Sclerosis,0.0,903298.0,0.0,Alabama,both,0_14
Anaemia,0.0,903298.0,0.0,Alabama,both,0_14
Rheumatic/Heart,0.0,903298.0,0.0,Alabama,both,0_14
Alcohol,0.0,3682138.0,0.0,California,female,0_14
Alzheimers,0.0,3682138.0,0.0,California,female,0_14
Anaemia,0.0,3682138.0,0.0,California,female,0_14
Asthma,0.0,3682138.0,0.0,California,female,0_14
Bladder Cancer,0.0,3682138.0,0.0,California,female,0_14
Breast Cancer,0.0,3682138.0,0.0,California,female,0_14
Cervical Cancer,0.0,3682138.0,0.0,California,female,0_14
Colon-Rectum Cancers,0.0,3682138.0,0.0,California,female,0_14
Congenital Anomalies,255.0,3682138.0,6.925324363182477e-05,California,female,0_14
Coronary Heart Disease,0.0,3682138.0,0.0,California,female,0_14
Diabetes Mellitus,0.0,3682138.0,0.0,California,female,0_14
Diarrhoeal diseases,0.0,3682138.0,0.0,California,female,0_14
Drug Use,0.0,3682138.0,0.0,California,female,0_14
Endocrine Disorders,15.0,3682138.0,4.073720213636751e-06,California,female,0_14
Epilepsy,0.0,3682138.0,0.0,California,female,0_14
Falls,0.0,3682138.0,0.0,California,female,0_14
Hepatitis C,0.0,3682138.0,0.0,California,female,0_14
Homicide,10.0,3682138.0,2.715813475757834e-06,California,female,0_14
Hypertension,0.0,3682138.0,0.0,California,female,0_14
Inflammatory/Heart,0.0,3682138.0,0.0,California,female,0_14
Influenza & Pneumonia,0.0,3682138.0,0.0,California,female,0_14
Kidney Disease,0.0,3682138.0,0.0,California,female,0_14
Leukemia,10.0,3682138.0,2.715813475757834e-06,California,female,0_14
Liver Cancer,0.0,3682138.0,0.0,California,female,0_14
Liver Disease,0.0,3682138.0,0.0,California,female,0_14
Low Birth Weight,127.0,3682138.0,3.4490831142124495e-05,California,female,0_14
Lung Cancers,0.0,3682138.0,0.0,California,female,0_14
Lung Disease,0.0,3682138.0,0.0,California,female,0_14
Lymphomas,0.0,3682138.0,0.0,California,female,0_14
Malnutrition,0.0,3682138.0,0.0,California,female,0_14
Maternal Conditions,0.0,3682138.0,0.0,California,female,0_14
Multiple Sclerosis,0.0,3682138.0,0.0,California,female,0_14
Oesophagus Cancer,0.0,3682138.0,0.0,California,female,0_14
Oral Cancer,0.0,3682138.0,0.0,California,female,0_14
Other Injuries,23.0,3682138.0,6.2463709942430185e-06,California,female,0_14
Other Neoplasms,0.0,3682138.0,0.0,California,female,0_14
Ovary Cancer,0.0,3682138.0,0.0,California,female,0_14
Pancreas Cancer,0.0,3682138.0,0.0,California,female,0_14
Parkinson's Disease,0.0,3682138.0,0.0,California,female,0_14
Peptic Ulcer Disease,0.0,3682138.0,0.0,California,female,0_14
Poisonings,0.0,3682138.0,0.0,California,female,0_14
Rheumatic/Heart,0.0,3682138.0,0.0,California,female,0_14
Rheumatoid Arthritis,0.0,3682138.0,0.0,California,female,0_14
Road Traffic Accidents,45.0,3682138.0,1.2221160640910254e-05,California,female,0_14
Skin Cancers,0.0,3682138.0,0.0,California,female,0_14
Skin Disease,0.0,3682138.0,0.0,California,female,0_14
Stomach Cancer,0.0,3682138.0,0.0,California,female,0_14
Stroke,0.0,3682138.0,0.0,California,female,0_14
Suicide,14.0,3682138.0,3.802138866060968e-06,California,female,0_14
Uterin Cancer,0.0,3682138.0,0.0,California,female,0_14
Birth Trauma,75.0,3682138.0,2.0368601068183756e-05,California,female,0_14
Drownings,18.0,3682138.0,4.888464256364101e-06,California,female,0_14
HIV/AIDS,0.0,3682138.0,0.0,California,female,0_14
Fires,0.0,3682138.0,0.0,California,female,0_14
Tuberculosis,0.0,3682138.0,0.0,California,female,0_14
Osteoarthritis,0.0,3682138.0,0.0,California,female,0_14
Alcohol,0.0,3846507.0,0.0,California,male,0_14
Alzheimers,0.0,3846507.0,0.0,California,male,0_14
Anaemia,0.0,3846507.0,0.0,California,male,0_14
Asthma,0.0,3846507.0,0.0,California,male,0_14
Birth Trauma,101.0,3846507.0,2.6257589028175434e-05,California,male,0_14
Bladder Cancer,0.0,3846507.0,0.0,California,male,0_14
Colon-Rectum Cancers,0.0,3846507.0,0.0,California,male,0_14
Congenital Anomalies,269.0,3846507.0,6.993357869880388e-05,California,male,0_14
Coronary Heart Disease,0.0,3846507.0,0.0,California,male,0_14
Diabetes Mellitus,0.0,3846507.0,0.0,California,male,0_14
Diarrhoeal diseases,0.0,3846507.0,0.0,California,male,0_14
Drownings,38.0,3846507.0,9.879092901689767e-06,California,male,0_14
Drug Use,0.0,3846507.0,0.0,California,male,0_14
Endocrine Disorders,39.0,3846507.0,1.0139069030681603e-05,California,male,0_14
Epilepsy,0.0,3846507.0,0.0,California,male,0_14
Falls,0.0,3846507.0,0.0,California,male,0_14
Fires,0.0,3846507.0,0.0,California,male,0_14
HIV/AIDS,0.0,3846507.0,0.0,California,male,0_14
Hepatitis C,0.0,3846507.0,0.0,California,male,0_14
Homicide,23.0,3846507.0,5.979450966812227e-06,California,male,0_14
Hypertension,0.0,3846507.0,0.0,California,male,0_14
Inflammatory/Heart,0.0,3846507.0,0.0,California,male,0_14
Influenza & Pneumonia,12.0,3846507.0,3.1197135479020317e-06,California,male,0_14
Kidney Disease,0.0,3846507.0,0.0,California,male,0_14
Leukemia,32.0,3846507.0,8.319236127738752e-06,California,male,0_14
Liver Cancer,0.0,3846507.0,0.0,California,male,0_14
Liver Disease,0.0,3846507.0,0.0,California,male,0_14
Low Birth Weight,196.0,3846507.0,5.095532128239985e-05,California,male,0_14
Lung Cancers,0.0,3846507.0,0.0,California,male,0_14
Lung Disease,0.0,3846507.0,0.0,California,male,0_14
Lymphomas,0.0,3846507.0,0.0,California,male,0_14
Malnutrition,0.0,3846507.0,0.0,California,male,0_14
Multiple Sclerosis,0.0,3846507.0,0.0,California,male,0_14
Oesophagus Cancer,0.0,3846507.0,0.0,California,male,0_14
Oral Cancer,0.0,3846507.0,0.0,California,male,0_14
Other Injuries,62.0,3846507.0,1.611851999749383e-05,California,male,0_14
Other Neoplasms,0.0,3846507.0,0.0,California,male,0_14
Pancreas Cancer,0.0,3846507.0,0.0,California,male,0_14
Parkinson's Disease,0.0,3846507.0,0.0,California,male,0_14
Peptic Ulcer Disease,0.0,3846507.0,0.0,California,male,0_14
Poisonings,0.0,3846507.0,0.0,California,male,0_14
Prostate Cancer,0.0,3846507.0,0.0,California,male,0_14
Prostatic Hypertrophy,0.0,3846507.0,0.0,California,male,0_14
Rheumatic/Heart,0.0,3846507.0,0.0,California,male,0_14
Road Traffic Accidents,69.0,3846507.0,1.7938352900436683e-05,California,male,0_14
Skin Cancers,0.0,3846507.0,0.0,California,male,0_14
Skin Disease,0.0,3846507.0,0.0,California,male,0_14
Stomach Cancer,0.0,3846507.0,0.0,California,male,0_14
Stroke,0.0,3846507.0,0.0,California,male,0_14
Suicide,25.0,3846507.0,6.499403224795899e-06,California,male,0_14
Hepatitis B,0.0,3846507.0,0.0,California,male,0_14
Rheumatoid Arthritis,0.0,3846507.0,0.0,California,male,0_14
Tuberculosis,0.0,3846507.0,0.0,California,male,0_14
Alcohol,0.0,7528645.0,0.0,California,both,0_14
Alzheimers,0.0,7528645.0,0.0,California,both,0_14
Asthma,0.0,7528645.0,0.0,California,both,0_14
Bladder Cancer,0.0,7528645.0,0.0,California,both,0_14
Breast Cancer,0.0,7528645.0,0.0,California,both,0_14
Cervical Cancer,0.0,7528645.0,0.0,California,both,0_14
Colon-Rectum Cancers,0.0,7528645.0,0.0,California,both,0_14
Congenital Anomalies,524.0,7528645.0,6.960083786657493e-05,California,both,0_14
